English,Russian
part,часть
history,история
search,поиск
only,только
police,полиция
thought,подумал
help,Помогите
request,запрос
kind,своего рода
month,месяц
brother,родной брат
let,позволять
because,потому как
to put,класть
no,нет
leash,привязь
them,их
city,город
each,каждый
speak,разговаривать
come,прийти
should,должен
baby,детка
long time,много времени
hours,часов
will,будут
while,в то время как
meet again,Встретимся снова
any,Любые
square,квадрат
speak,разговаривать
understood,понимать
knew,знал
were,мы
Warning,Предупреждение
here is,здесь
could,мог
case,дело
give,дайте
type,тип
their,их
given,дано
train,поезд
body,тело
place,место
eyes,глаза
way,путь
listen,Слушать
whose,чья
find,находить
first,первый
lost,потерянный
hand,рука
first,первый
side,боковая сторона
power,мощность
old,старый
be,быть
here,Вот
morning,утро
so much,так много
child,ребенок
point,точка
came,пришел
after,после
sorry,извиняюсь
come,прийти
in front of,перед
towards,к
minutes,минут
request,запрос
bedroom,Спальня
placed,помещенный
beautiful,прекрасный
law,закон
would like to,хотел бы
today,Cегодня
husband,муж
cause,причина
finally,Ну наконец то
hope,надежда
water,вода
Wait,Подождите
left,слева
new,новый
job,работа
Stop,Стоп
would say,я бы сказал
Earth,Земля
account,Счет
given,дано
far,далеко
end,конец
believe,верить
sweetheart,возлюбленная
large,большой
rather,скорее
will have,будет
girls,девочки
to play,играть
office,офис
